timestamp,AmbientLightSensor,DecibelSource,PitchSensor,AccX,AccY,AccZ
1763074863360,,,,-1.960050106048584,8.25,7.543050289154053
1763074863380,,,,-2.3550000190734863,8.260050773620605,7.534050464630127
1763074863384,,47.71034369021966,150.8984375,,,
1763074863387,,,139.3408203125,,,
1763074863388,,,139.3408203125,,,
1763074863399,,,,-1.6080000400543213,8.265000343322754,7.528950214385986
1763074863418,,,,,9.529050827026367,8.068050384521484
1763074863419,,,,-0.739050030708313,,
1763074863423,,36.165892802895215,139.3408203125,,,
1763074863437,,,,,10.261950492858887,
1763074863438,,,,-1.429050087928772,,8.764050483703613
1763074863452,17.0,,,,,
1763074863458,,,,,10.534950256347656,
1763074863460,,,,-0.4440000355243683,,8.755050659179688
1763074863462,,34.42115295441469,139.3408203125,,,
1763074863477,,,,,9.256050109863281,
1763074863478,,,,0.6460500359535217,,9.540000915527344
1763074863498,,,,,6.289950370788574,
1763074863499,,,,0.07905000448226929,,11.020050048828125
1763074863502,,32.83860713720567,,,,
1763074863515,,,,,4.73805046081543,
1763074863516,,,,,,11.40000057220459
1763074863517,,,,0.07200000435113907,,
1763074863518,9.0,,,,,
1763074863535,,,,,3.718050241470337,11.383950233459473
1763074863536,,,,0.43095001578330994,,
1763074863544,,29.797052528665205,,,,
1763074863548,,,144.3408203125,,,
1763074863549,,,144.3408203125,,,
1763074863552,9.0,,,,,
1763074863555,,,,0.7830000519752502,2.641050100326538,11.383950233459473
1763074863574,,,,,0.4069500267505646,
1763074863576,,,,,,11.020050048828125
1763074863577,,,,0.7729500532150269,,
1763074863583,,32.379345166734275,,,,
1763074863584,,,144.3408203125,,,
1763074863597,,,,,-1.5390000343322754,8.878950119018555
1763074863598,,,,1.752000093460083,,
1763074863615,,,,,-2.6449501514434814,8.881950378417969
1763074863616,,,,1.755000114440918,,
1763074863620,,31.454888558136318,,,,
1763074863621,,,144.3408203125,,,
1763074863632,,,,,-2.329050064086914,
