relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
8940,,1.3510500192642212,6.034950256347656,7.4509501457214355
8945,1.4240244454042945,,,
8960,,1.1530500650405884,6.0520501136779785,7.116000175476074
8965,1.4365667547959988,,,
8981,,1.0909500122070312,6.12600040435791,7.000950336456299
8986,1.3508116560382526,,,
8999,,,,7.087950229644775
9000,,1.1050500869750977,6.226950168609619,
9004,1.1210226109493258,,,
9021,,1.4520000219345093,6.3919501304626465,7.458000183105469
9025,0.7101218606576957,,,
9039,,,,7.755000591278076
9040,,1.8660000562667847,6.564000129699707,
9045,0.6720234241220621,,,
9060,,1.9399501085281372,6.624000549316406,7.687950134277344
9065,0.5268662162582542,,,
9080,,1.7770501375198364,6.58305025100708,7.387050151824951
9085,0.38682414073381466,,,
9100,,,,7.201950550079346
9101,,1.665000081062317,6.543000221252441,
9105,0.33855685664602536,,,
9120,,1.5070500373840332,6.442050457000732,7.425000190734863
9125,0.3544615635110184,,,
9139,,,,7.755000591278076
9140,,1.7010000944137573,6.402000427246094,
9145,0.5149651842941229,,,
9160,,1.966050148010254,6.403950214385986,7.930050373077393
9165,0.6656952028460124,,,
9181,,,,7.944000244140625
9182,,2.3400001525878906,6.516000270843506,
9188,1.0667816172192766,,,
9205,,3.0859501361846924,6.756000518798828,7.935000419616699
9206,1.6709657139391083,,,
9230,2.01058578438738,3.5220000743865967,6.829950332641602,7.852950572967529
9240,,3.3259501457214355,6.712950229644775,7.884000301361084
9246,1.8235054010008438,,,
9260,,3.283050060272217,6.628950119018555,8.064000129699707
9265,2.0515041276191543,,,
9281,,3.61995005607605,6.676950454711914,8.113950729370117
9285,2.4177819890136756,,,
9303,,3.7830002307891846,6.757950305938721,7.968000411987305
9305,2.5584412973426307,,,
9320,,,,7.891950607299805
9321,,3.6850502490997314,6.648000240325928,
9325,2.5087884922999546,,,
9341,,3.570000171661377,6.600000381469727,7.779000282287598
9345,2.2416484330959032,,,
9360,,,,7.470000267028809
9361,,3.7849502563476562,6.724950313568115,
9367,2.2716855774295475,,,
9380,,4.126950263977051,6.96405029296875,7.147050380706787
9385,2.708260481417007,,,
9400,,,7.222050189971924,6.95805025100708
9401,,4.374000072479248,,
9405,2.9635092002194217,,,
9420,,,,6.963000297546387
9421,,4.32105016708374,7.1860504150390625,
9425,2.858381922302392,,,
9442,,,,7.368000507354736
9443,,3.9840002059936523,7.146000385284424,
9445,2.6728547737010304,,,
9460,,,,7.8409504890441895
9461,,3.7729501724243164,7.0909504890441895,
9465,2.810872518351305,,,
9481,,3.8929502964019775,7.123950481414795,8.325000762939453
9485,3.240863281435976,,,
9502,,,,8.224050521850586
9503,,4.0410003662109375,7.07895040512085,
9505,3.31085984992748,,,
9521,,4.012050151824951,7.102950572967529,7.4509501457214355
9525,2.978242014840702,,,
9540,,,,6.754950523376465
9541,,3.547950267791748,7.038000106811523,
9545,2.2963606070271507,,,
9560,,,,6.250050067901611
9561,,3.3640501499176025,7.04295015335083,
9569,1.9836071060530314,,,
9582,,3.2850000858306885,7.048050403594971,6.207000255584717
9586,1.8416056043188294,,,
9600,,,,6.41295051574707
9601,,3.385050058364868,7.062000274658203,
9605,1.8045209006824376,,,
9621,,3.022050142288208,6.799050331115723,6.403050422668457
9634,1.5258638280505012,,,
9645,,2.6580002307891846,6.556950092315674,6.20205020904541
9646,1.452419232668773,,,
9660,,,6.4830002784729,5.692050457000732
9661,,2.4790501594543457,,
9665,1.39806292754617,,,
9681,,,,5.145000457763672
9683,,2.31600022315979,6.492000102996826,
9686,1.6220290829300723,,,
9702,,2.4019501209259033,6.50700044631958,4.503000259399414
9708,1.9827963489448834,,,
9721,,2.4979500770568848,6.588000297546387,4.02495002746582
9727,2.255979856766399,,,
9749,2.5234911650156633,2.6010000705718994,6.612000465393066,3.67995023727417
9761,,2.3490002155303955,6.49500036239624,3.3859500885009766
9766,2.660861511399855,,,
9782,,2.2080001831054688,6.504000186920166,2.9790000915527344
9786,2.9812434678236057,,,
9801,,2.3490002155303955,6.427950382232666,2.54295015335083
9807,3.3957263172972088,,,
9824,,2.1630001068115234,6.23205041885376,2.1510000228881836
9827,3.718190383477318,,,
9841,,1.6390501260757446,6.000000476837158,1.7869501113891602
9849,4.043490964915046,,,
9861,,1.284000039100647,5.9350504875183105,1.6170001029968262
9866,4.160077390684502,,,
9881,,,,1.6219500303268433
9882,,0.9040500521659851,5.635950088500977,
9886,4.319484638273784,,,
9901,,,,1.7710500955581665
9902,,0.7890000343322754,5.608950138092041,
9906,4.2659885125843875,,,
9921,,0.7410000562667847,5.602050304412842,1.8379501104354858
9926,4.2081735914272755,,,
9941,,1.2679500579833984,5.9730000495910645,2.0429999828338623
9946,3.6916355283872058,,,
9961,,,,2.634000062942505
9962,,2.116950035095215,6.349050521850586,
9966,3.169686299876381,,,
9982,,2.6389501094818115,6.652950286865234,3.0960001945495605
9986,2.9389732400014017,,,
10002,,3.0240001678466797,6.765000343322754,3.4459502696990967
10007,2.8225357718350663,,,
10022,,3.2539501190185547,6.8610005378723145,3.9340500831604004
10026,2.535300416770681,,,
10041,,3.2850000858306885,6.829950332641602,4.683000087738037
10047,1.8774217860036233,,,
10061,,2.9860501289367676,6.816000461578369,5.428950309753418
10067,1.0735241673116278,,,
10081,,2.517000198364258,6.813000202178955,6.247950077056885
10086,0.48379737498811926,,,
10101,,,,7.201950550079346
10102,,,6.994950294494629,
10103,,2.5500001907348633,,
10106,1.0096264269158568,,,
10123,,2.932950258255005,7.1700005531311035,7.789050579071045
10126,1.4258377691066524,,,
10144,,3.2509500980377197,7.336950302124023,7.79295015335083
10155,1.4875395921839591,,,
10167,1.5195182270188243,3.3540000915527344,7.3470001220703125,7.80495023727417
10181,,,7.315950393676758,7.903950214385986
10183,,3.169950246810913,,
10187,1.4243288768684013,,,
10201,,,7.335000514984131,8.076000213623047
10202,,3.139050245285034,,
10207,1.6937956462494708,,,
10222,,3.1680002212524414,7.218000411987305,8.17199993133545
10226,1.584473032429655,,,
10241,,3.6220502853393555,7.3969502449035645,7.852950572967529
10249,1.6706625561786652,,,
10263,,4.084050178527832,7.579050540924072,8.039999961853027
10273,2.128009348232129,,,
10281,,,,8.326950073242188
10282,,4.189050197601318,7.560000419616699,
10288,2.2139982463206,,,
10307,2.087119692577553,3.7609500885009766,7.323000431060791,8.569050788879395
10327,1.8848327940994252,3.4140002727508545,7.141050338745117,8.506950378417969
10346,,,,8.080950736999512
10347,1.5211274459233628,3.2179501056671143,7.050000190734863,
10367,1.3289937936337968,3.061950206756592,6.9970502853393555,7.759950160980225
10387,1.206304831568053,2.9190001487731934,6.89400053024292,7.654950141906738
10406,,,,7.695000171661377
10407,1.0775072843655016,2.9449501037597656,6.732000350952148,
10427,0.9849539371312059,2.743950128555298,6.502050399780273,7.702950477600098
10447,1.0338574016273807,2.328000068664551,6.279000282287598,7.597050189971924
10467,,,,7.6020002365112305
10468,1.1520866495168647,2.0239500999450684,6.064050197601318,
10489,1.1927129365035383,,5.988000392913818,7.588050365447998
10490,,1.8490500450134277,,
10508,1.0552775110211667,1.8439500331878662,5.937000274658203,7.345950126647949
10527,1.1135298601933565,1.702950119972229,5.848950386047363,7.183050155639648
10547,1.1225891772829268,1.609950065612793,6.064050197601318,7.15500020980835
10567,0.9458622870585929,1.7299500703811646,6.1810503005981445,7.31505012512207
10587,1.005337715058007,1.6120500564575195,6.283950328826904,7.42995023727417
10607,,,6.277050495147705,7.521000385284424
10608,1.0780414604218562,1.4329500198364258,,
10627,1.2739693402833503,1.1620500087738037,6.390000343322754,7.747950553894043
10647,,,6.3349504470825195,8.002050399780273
10648,1.382799654971017,0.9520500302314758,,
10669,,,,8.248050689697266
10670,1.5997858380993386,0.583050012588501,6.20805025100708,
10689,,,,8.1670503616333
10690,1.7091839308713823,0.17205001413822174,6.157050132751465,
10707,1.6754785366567622,-0.05205000191926956,6.2410502433776855,8.064000129699707
10729,1.5744355386117053,-0.009000000543892384,6.313050270080566,8.361000061035156
10747,,,,8.884950637817383
10748,1.4844404507311728,0.6100500226020813,6.378000259399414,
10767,,,,9.238950729370117
10768,1.645803580035299,1.3320000171661377,6.490050315856934,
